id,I_nd,J_nd
1,18887,22949
2,18430,22954
3,22947,26814
4,18959,17386
5,18749,17388
6,18961,17383
7,22952,28024
8,17402,19374
9,17403,19376
10,17468,17384
11,17471,17381
12,17487,17379
13,17481,17378
14,24180,17377
15,17511,24185
16,17512,24189
17,17513,24192
18,50333,50160
19,50334,50161
20,50162,50163
21,50164,50165
22,50335,50336
23,50337,50338
24,50166,50167
25,50168,50169
26,50339,50340
27,50341,50342
28,50170,50171
29,50172,50173
30,17983,22
31,17984,22
32,17914,17550
33,17912,17556
34,17891,24
35,17887,2458
36,20,50174
37,20,50175
38,50176,2430
39,50177,2429
40,20,2426
41,20,2425
42,20,50178
43,20,50179
44,50180,2429
45,50181,2429
46,17586,18334
47,18528,17597
48,18537,18593
49,18068,18206
50,17600,17624
51,17997,50182
52,18652,17626
53,17648,17598
54,18446,17653
55,50183,50184
56,50185,50186
57,18235,17734
58,18236,17733
59,18234,17735
60,18318,17635
61,18549,17737
62,18550,17738
63,18548,17736
64,50254,50187
65,50188,50189
66,18310,17764
67,18312,17774
68,17832,18014
69,19459,18013
70,50190,18269
71,50191,18270
72,18241,17830
73,20775,17833
74,20774,17840
75,17855,17691
76,17856,17690
77,17909,19451
78,17913,19444
79,18364,17869
80,18012,17868
81,18346,17874
82,18347,17875
83,18433,17603
84,18662,17929
85,18663,17930
86,18661,17928
87,21243,17644
88,21308,17643
89,50192,17680
90,18555,17951
91,17976,17667
92,17975,17669
93,18086,17967
94,18085,17966
95,18143,17963
96,17979,22939
97,17977,18443
98,17948,21302
99,21303,17947
100,18780,17932
101,50193,50194
102,50195,50196
103,19982,18146
104,18319,17664
105,18699,18015
106,18705,18011
107,18071,18037
108,50197,50198
109,18122,18069
110,18121,18070
111,18591,18061
112,18592,18062
113,18167,18082
114,18106,17601
115,50199,50200
116,50201,50202
117,18115,17719
118,18087,17633
119,20234,18107
120,19508,18101
121,18682,18103
122,18683,18102
123,18258,18163
124,18368,18188
125,18386,18186
126,18387,18187
127,18209,17915
128,18207,17917
129,18532,20579
130,50203,50257
131,18724,18376
132,18408,19497
133,18247,17882
134,18246,17879
135,18531,17681
136,50205,50204
137,18463,18276
138,18285,17675
139,18283,17676
140,17971,17594
141,17970,17595
142,19456,50206
143,21301,17572
144,21307,17571
145,18305,18131
146,18306,18130
147,18302,18278
148,18301,18279
149,18328,18583
150,18332,18586
151,18605,18300
152,18604,18299
153,50207,50208
154,18337,18382
155,18338,18381
156,50209,50210
157,18384,17791
158,18385,17790
159,18379,17861
160,18380,17860
161,18365,17651
162,18482,18374
163,18483,18375
164,50258,50262
165,50259,50263
166,18426,18095
167,18414,18172
168,18413,18171
169,18502,18417
170,50211,50212
171,18444,17668
172,18343,18470
173,18344,18471
174,50214,50213
175,50216,50215
176,18499,17781
177,21133,18341
178,18520,18036
179,18072,18515
180,18554,18120
181,50217,50218
182,50219,50220
183,24309,18174
184,24308,18173
185,18578,18363
186,18580,18361
187,938,50221
188,17616,17992
189,24051,18602
190,18295,18603
191,18622,18170
192,18620,18169
193,19488,17982
194,19489,17981
195,18029,18864
196,19487,18378
197,18647,18527
198,18644,17634
199,18641,18058
200,18642,18059
201,946,18335
202,18660,18543
203,18659,18544
204,18957,19509
205,50222,50223
206,18711,18345
207,20780,18729
208,17739,17567
209,18551,20781
210,18623,17606
211,18455,18287
212,50224,50225
213,17724,17720
214,17796,18739
215,17797,18738
216,17795,18740
217,17936,25779
218,18746,17890
219,18748,17888
220,18212,17801
221,17901,17689
222,17900,17692
223,18329,20366
224,18326,18022
225,18316,18045
226,18317,18042
227,50226,50227
228,18458,18078
229,18475,17898
230,18637,18737
231,18638,18736
232,18427,18159
233,18425,18156
234,19505,18137
235,18432,18204
236,50228,50229
237,18256,18222
238,18708,940
239,19507,17725
240,18019,18288
241,18358,17708
242,18354,17707
243,50230,50231
244,18351,18124
245,18352,18125
246,17991,18672
247,17990,18673
248,18428,18093
249,18217,18184
250,18216,18185
251,18321,18452
252,18322,18453
253,18697,18215
254,18698,18214
255,17740,18474
256,18485,17964
257,19482,17618
258,18559,17969
259,18558,17968
260,18597,18044
261,18596,18043
262,50232,50233
263,50234,50235
264,18669,17802
265,18668,18211
266,18671,18100
267,18670,18099
268,18001,18692
269,18716,17710
270,18402,17699
271,18725,18190
272,18018,18230
273,23687,17696
274,18403,26188
275,18401,17698
276,18467,17903
277,18466,17902
278,17924,17703
279,18888,18202
280,50236,18756
281,18764,18755
282,18030,17697
283,17813,19720
284,19983,18435
285,17805,19195
286,18775,18777
287,17814,19719
288,18771,18779
289,18076,19105
290,17925,18782
291,18787,23715
292,18450,18792
293,18147,18795
294,18461,19162
295,18582,18789
296,18585,17962
297,17754,19178
298,18562,18972
299,18798,19193
300,17753,19177
301,17803,19223
302,17918,19215
303,19258,19247
304,19117,19246
305,18805,19245
306,18590,19244
307,19164,18885
308,18460,19163
309,18479,19221
310,19243,18742
311,19242,18741
312,19266,17702
313,19265,17701
314,50237,19284
315,17937,25780
316,19281,18639
317,17938,17743
318,50244,50238
319,18810,18807
320,18813,18812
321,18816,18817
322,18640,19280
323,50245,50239
324,18819,5497
325,19068,19104
326,18823,17695
327,18608,18822
328,18845,18794
329,947,17663
330,18260,18836
331,18047,18837
332,18838,19069
333,18459,19070
334,26244,19071
335,19079,19724
336,19078,19723
337,18851,19213
338,18712,19108
339,18713,19109
340,18842,19083
341,18841,19082
342,19186,17906
343,19185,17907
344,18855,18791
345,18862,18191
346,18366,18852
347,18451,18856
348,18843,19147
349,18844,19146
350,18560,19122
351,18561,19121
352,18869,18863
353,17920,18873
354,17919,18872
355,50240,50246
356,50241,50247
357,18400,19182
358,18399,19181
359,19501,18320
360,19500,18866
361,18871,17590
362,18870,17591
363,18193,19075
364,17726,18879
365,18883,17810
366,21319,19222
367,17857,19066
368,18890,19220
369,18889,19219
370,18194,19077
371,17858,19067
372,19203,50242
373,19226,18128
374,18227,19229
375,18226,19228
376,18028,18892
377,18896,18915
378,18899,18922
379,17751,18928
380,17749,18908
381,18259,18164
382,19087,18933
383,18938,18936
384,17904,19269
385,17905,19285
386,19085,17931
387,18943,18937
388,18610,19297
389,19701,19187
390,19086,18952
391,19091,18003
392,19090,18002
393,18690,18955
394,18689,18956
395,17939,17742
396,17940,17741
397,18966,19300
398,18696,17942
399,18703,17941
400,19111,18089
401,19096,17957
402,19114,18090
403,19099,17959
404,19208,19110
405,19204,19112
406,19101,18788
407,18986,18960
408,18984,18958
409,19230,17750
410,19210,18898
411,18291,18971
412,18809,19092
413,18808,19093
414,948,18930
415,20235,20603
416,19027,17670
417,18050,19273
418,18051,19274
419,19275,19009
420,19294,19008
421,19253,19030
422,18619,19025
423,18999,18488
424,18998,18489
425,17974,19028
426,19018,19012
427,19019,18304
428,19001,21304
429,19000,21305
430,18995,18394
431,19048,18431
432,18785,18783
433,20236,20604
434,26138,19271
435,26142,19272
436,19050,18253
